score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;F27J22000000005;PROGETTO DI EFFICIENTAMENTO E DIGITALIZZAZIONE DELLE RETI DI DISTRIBUZIONE IDRICA GESTITE DALLA SOCIETÀ ACQUA PUBBLICA SABINA S.P.A.;Ambiente / rifiuti / depurazione;LAZIO;RIETI;FRASSO SABINO;40912569.0;ACQUA PUBBLICA SABINA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F27J22000000005
100;E51B22000710006;COSTRUZIONE DI NUOVO EDIFICIO SCOLASTICO IN SOSTITUZIONE DEL CONCETTO MARCHESI DI PISA;Scuole / formazione;TOSCANA;PISA;PISA;40895000.0;AMMINISTRAZIONE PROVINCIALE DI PISA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E51B22000710006
100;C66D16010700001;CIS VENTOTENE INTERVENTO DI RECUPERO E RIFUNZIONALIZZAZIONE DELL'EX CARCERE DELL'ISOLA DI SANTO STEFANO;Riqualificazione urbana;LAZIO;LATINA;VENTOTENE;40841493.0;soggetto privato;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C66D16010700001
100;B89I24000510007;AFFIDAMENTO IN CONCESSIONE, TRAMITE FINANZA DI PROGETTO A TERMINI DELLART 193 CO. 1 DEL D.LGS. 36/2023 , DEI LAVORI DI RIQUALIFICAZIONE DI ALCUNE VIABILITA DEL CAPOLUOGO GESTIONE PARCHEGGI;Riqualificazione urbana;TOSCANA;PISA;PONTEDERA;40727017.0;COMUNE DI PONTEDERA - PI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B89I24000510007
100;J87E20000010004;PAGAMENTO DELLA FORNITURA DI ENERGIA ELETTRICA, LA CONDUZIONE, LESERCIZIO, LA MANUTENZIONE ORDINARIA, ACCIDENTALE E PROGRAMMATA, PER LASSUNZIONE DI RESPONSABILITÀ CIVILE E PENALE E PER GLI INTERVENTI DI MANUTENZIONE STRAORDINARIA PER LANNO 2020;Infrastrutture / parcheggi;LAZIO;ROMA;ROMA;40687000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J87E20000010004
100;F36G98000020001;A 91 AUTOSTRADA ROMA AEROPORTO DI FIUMICINO;Infrastrutture / parcheggi;LAZIO;ROMA;ROMA;40451825.0;ANAS S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F36G98000020001
100;F85J05000050004;manutenzione straordinaria per la sistemazione copertura scuola materna Borgo Ovest;Scuole / formazione;LAZIO;RIETI;RIETI;40450000.0;COMUNE DI RIETI - RI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F85J05000050004
100;C99D09000130002;PROGETTAZIONE E RIQUALIFICAZIONE URBANA E TERRITORIALE ATTRAVERSO IL RIUSO COORDINATO DI EDIFICI E STRUTTURE;Riqualificazione urbana;TOSCANA;SIENA;POGGIBONSI;40187354.0;COMUNE DI COLLE DI VAL D'ELSA - SI -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/C99D09000130002
100;B86F25000060002;INTERVENTI PER LA MITIGAZIONE DEL RISCHIO IDRAULICO SUL DEL F. ELSA NEL TRATTO TRA CERTALDO ED EMPOLI;Ambiente / rifiuti / depurazione;TOSCANA;FIRENZE;CERTALDO;40170208.0;UNIONE DEI COMUNI CIRCONDARIO DELL'EMPOLESE VALDELSA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B86F25000060002
100;B61B23000610001;CONNESSIONE INTERVALLIVA TRA SS76 E E78 - SERRA S.ABBONDIO-CAGLI - LOTTO 3C CONNESSIONE SS3-SS424;Infrastrutture / parcheggi;MARCHE;PESARO E URBINO;CAGLI;40000000.0;REGIONE MARCHE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B61B23000610001
