cig;cup_count;cups
8116212E02;1;C69G15001840001
8122675375;1;F21B03000350001
8127723931;1;J37H19002880001
8128308BF2;1;H17B16000800005
812890589C;1;H17B16000800005
8129158964;1;H17B16000800005
8129280E10;1;J37H19002880001
8130273187;1;J37H19002880001
8130292135;1;J37H19002880001
8130303A46;1;J37H19002880001
8130595B3D;1;H17B16000800005
81312052A3;1;J37H19002880001
8131220F00;1;J37H19002880001
81312621AD;1;J37H19002880001
813128657A;1;J37H19002880001
81313190B7;1;J37H19002880001
813134020B;1;J37H19002880001
813136028C;1;J37H19002880001
8131378167;1;J37H19002880001
813330579B;1;H92G18000370002
8134177734;1;B63E17000190001
8134360E36;1;J37H19002880001
8134924FA3;1;J37H19002880001
8135810ACB;1;J37H19002880001
8135871D21;1;G67H19001090006
81358961C6;1;G67H19001090006
8136220D22;1;J37H19002880001
8136355C8A;1;J37H19002880001
8136393BE6;1;J37H19002880001
81364234AA;1;J37H19002880001
8136433CE8;1;J37H19002880001
8136460333;1;J37H19002880001
8136495016;1;J37H19002880001
8136529C21;1;J37H19002880001
813658170C;1;J37H19002880001
813662073B;1;J37H19002880001
8136658697;1;J37H19002880001
8136721A93;1;J37H19002880001
81368114DA;1;J37H19002880001
8136855928;1;J37H19002880001
81368927B1;1;J37H19002880001
81369263C1;1;J37H19002880001
81369610A4;1;J37H19002880001
8137026646;1;J37H19002880001
8137059183;1;J37H19002880001
8137093D8E;1;J37H19002880001
81371371E1;1;J37H19002880001
8137162681;1;J37H19002880001
81372184B8;1;J37H19002880001
8138117A97;1;J37H19002880001
81381326F9;1;J37H19002880001
8138142F37;1;J37H19002880001
813815384D;1;J37H19002880001
8138164163;1;J37H19002880001
8138177C1A;1;J37H19002880001
8138194A22;1;J37H19002880001
813820640B;1;J37H19002880001
81382139D0;1;J37H19002880001
8138220F95;1;J37H19002880001
8138249786;1;J37H19002880001
