score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
78;G55J07000170001;Elettrodotto 500 kV HVDC di interconnessione Italia - Balcani;Energia;TUTTE;TUTTE;TUTTI;763200000.0;TERNA S.P.A;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G55J07000170001
78;I21B21002230001;HVDC GRITA 2;Energia;PUGLIA;LECCE;GALATINA;750000000.0;TERNA RETE ITALIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I21B21002230001
78;G55J04002370001;Elettrodotto 500 kV HVDC Sardegna - Continente (SAPEI);Energia;TUTTE;TUTTE;TUTTI;746700000.0;TERNA S.P.A;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G55J04002370001
78;G55J03001660001;Elettrodotto 380 kV Sorgente - Rizziconi;Energia;TUTTE;TUTTE;TUTTI;667800000.0;TERNA S.P.A;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G55J03001660001
78;B41C19000090005;AFFIDAMENTO DEL SERVIZIO PUBBLICO DI DISTRIBUZIONE DEL GAS NATURALE MEDIANTE TUBAZIONI IN TUTTI I TERRITORI DEI COMUNI DELL'AMBITO TERRITORIALE DI NAPOLI 1;Energia;CAMPANIA;NAPOLI;ERCOLANO;652104895.0;COMUNE DI NAPOLI - NA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B41C19000090005
78;I49J20001670005;INTERVENTI DI EFFICIENTAMENTO ENERGETICO DEL PATRIMONIO IMMOBILIARE DI PROPRIETÀ DI ALER E/O GESTITO DALLA STESSA, SITO IN MILANO E PROVINCIA;Energia;LOMBARDIA;MILANO;MILANO;555968752.0;AZIENDA LOMBARDA EDILIZIA RESIDENZIALE MILANO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I49J20001670005
100;D75I23000190001;CASERMA LOLLI GHETTI;Industriale / logistica;PUGLIA;BARLETTA-ANDRIA-TRANI;TRANI;960000000.0;MINISTERO DELLA DIFESA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D75I23000190001
100;H79J01000010001;Spese generali di mantenimento dell'ufficio coordinamento servizio di piena comprendenti: manutenzioni reti televisive centro elaborazione dati fornitura e rinnovo apparecchiature. Spese correnti del magazzino Centrale, spese funzionamento automezzi e autoscafi in dotazione.;Industriale / logistica;EMILIA-ROMAGNA;PARMA;TUTTI;361519830.0;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/H79J01000010001
100;C21B03000060001;PORTO DI TRIESTE;Industriale / logistica;FRIULI-VENEZIA GIULIA;TRIESTE;TRIESTE;250000000.0;AUTORITA' DI SISTEMA PORTUALE DEL MARE ADRIATICO ORIENTALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C21B03000060001
100;F71G06000070005;PORTO DI VENEZIA, SEZIONE DI MARGHERA;Industriale / logistica;VENETO;VENEZIA;VENEZIA;218228880.0;AUTORITA' DI SISTEMA PORTUALE DEL MARE ADRIATICO SETTENTRIONALE;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/F71G06000070005
100;J49D03000020004;PALASPORT, VIA DEI CONDOTTI VECCHI: REALIZZAZIONE MAGAZZINO DI SERVIZIO;Industriale / logistica;TOSCANA;LIVORNO;LIVORNO;165600000.0;COMUNE DI LIVORNO - LI -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J49D03000020004
100;D11E05000000008;PORTO DI TARANTO;Industriale / logistica;PUGLIA;TARANTO;TARANTO;156149000.0;AUTORITA' DI SISTEMA PORTUALE DEL MAR IONIO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D11E05000000008
100;H88I01000000001;Fornitura materiale servizio piena e manutenzione straordinaria locali,darsena e dell' arco di pertinenza in uso dell ex ufficio Speciale del Genio Civile per il Po e Magazzino Centrale di Boretto.;Industriale / logistica;EMILIA-ROMAGNA;REGGIO NELL'EMILIA;TUTTI;154937060.0;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/H88I01000000001
100;C61E16000310001;INTERVENTI INFRASTRUTTURALI PER L'ACCOGLIENZA E LA LOGISTICA;Industriale / logistica;CAMPANIA;NAPOLI;NAPOLI;153726321.0;ARUS -AGENZIA REGIONALE UNIVERSIADI PER LO SPORT - NAPOLI;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C61E16000310001
100;D99F22000270002;NUOVI UFFICI REGIONALI - RESTAURO E RISANAMENTO CONSERVATIVO DELLEDIFICIO N.118, MAGAZZINO N.7, MAGAZZINO N.10 E HANGAR N.21 DI PORTO VECCHIO A TRIESTE;Industriale / logistica;FRIULI-VENEZIA GIULIA;TRIESTE;TRIESTE;150000000.0;REGIONE AUTONOMA FRIULI VENEZIA GIULIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D99F22000270002
100;J91B21002600001;PIANO STRATEGICO DELLA LOGISTICA URBANA-PIANIFICAZIONE DI MEZZI DI TRASPORTO ALTERNATIVO-;Industriale / logistica;PUGLIA;BARI;BARI;103200000.0;COMUNE DI BARI - BA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J91B21002600001
100;B41F04000010008;AEROPORTO ARLOTTA;Industriale / logistica;PUGLIA;TARANTO;GROTTAGLIE;98672032.0;AEROPORTI DI PUGLIA S.P.A.;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/B41F04000010008
100;B93F99001150008;TESSIVAL SUD S.R.L. / Airola / ZONA INDUSTRIALE ZONE EX ALFA CAVI / Nuovo impianto;Industriale / logistica;CAMPANIA;BENEVENTO;AIROLA;84094000.0;MINISTERO DELLE IMPRESE E DEL MADE IN ITALY;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B93F99001150008
100;B53F99000980008;M.C.T. Mediterranea Ceramic Tile S.r.l. / Cutro / Zona Industriale / Nuovo impianto;Industriale / logistica;CALABRIA;CROTONE;CUTRO;79768830.0;MINISTERO DELLE IMPRESE E DEL MADE IN ITALY;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B53F99000980008
100;H41H14000110005;PIATTAFORMA LOGISTICA;Industriale / logistica;BASILICATA;MATERA;FERRANDINA;70000000.0;AMMINISTRAZIONE PROVINCIALE DI MATERA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H41H14000110005
100;C46I23001900008;SOL GAS PRIMARI S.R.L.;Industriale / logistica;MARCHE;PESARO E URBINO;FANO;63810000.0;soggetto privato;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C46I23001900008
100;B49G15002420004;SEDE UFFICI COMUNALI;Industriale / logistica;LOMBARDIA;MILANO;MILANO;62850000.0;COMUNE DI MILANO - MI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B49G15002420004
